CPUSS_CONFIG,0x40100000,Configuration register
CPUSS_SYSREQ,0x40100004,SYSCALL control register
CPUSS_SYSARG,0x40100008,SYSARG control register
CPUSS_PROTECTION,0x4010000C,Protection control register
CPUSS_PRIV_ROM,0x40100010,ROM privilege register
CPUSS_PRIV_RAM,0x40100014,RAM privilege register
CPUSS_PRIV_FLASH,0x40100018,ROM privilege register
CPUSS_WOUNDING,0x4010001C,Wounding register
CPUSS_FLASH_CTL,0x40100030,FLASH control register
CPUSS_ROM_CTL,0x40100034,ROM control register
GPIO_PRT0_DR,0x40040000,Port output data register
GPIO_PRT0_PS,0x40040004,Port IO pad state register
GPIO_PRT0_PC,0x40040008,Port configuration register
GPIO_PRT0_INTR_CFG,0x4004000C,Port interrupt configuration register
GPIO_PRT0_INTR,0x40040010,Port interrupt status register
GPIO_PRT0_PC2,0x40040018,Port configuration register 2
GPIO_PRT0_DR_SET,0x40040040,Port output data set register
GPIO_PRT0_DR_CLR,0x40040044,Port output data clear register
GPIO_PRT0_DR_INV,0x40040048,Port output data invert register
GPIO_PRT1_DR,0x40040100,Port output data register. See GPIO_PRT0_DR for the details of bit fields.
GPIO_PRT1_PS,0x40040104,Port IO pad state register. See GPIO_PRT0_PS for the details of bit fields.
GPIO_PRT1_PC,0x40040108,Port configuration register. See GPIO_PRT0_PC for the details of bit fields.
GPIO_PRT1_INTR_CFG,0x4004010C,Port interrupt configuration register. See GPIO_PRT0_INTR_CFG for the details of bit fields.
GPIO_PRT1_INTR,0x40040110,Port interrupt status register. See GPIO_PRT0_INTR for the details of bit fields.
GPIO_PRT1_PC2,0x40040118,Port configuration register 2. See GPIO_PRT0_PC2 for the details of bit fields.
GPIO_PRT1_DR_SET,0x40040140,Port output data set register. See GPIO_PRT0_DR_SET for the details of bit fields.
GPIO_PRT1_DR_CLR,0x40040144,Port output data clear register. See GPIO_PRT0_DR_CLR for the details of bit fields.
GPIO_PRT1_DR_INV,0x40040148,Port output data invert register. See GPIO_PRT0_DR_INV for the details of bit fields.
GPIO_PRT2_DR,0x40040200,Port output data register
GPIO_PRT2_PS,0x40040204,Port IO pad state register
GPIO_PRT2_PC,0x40040208,Port configuration register
GPIO_PRT2_INTR_CFG,0x4004020C,Port interrupt configuration register
GPIO_PRT2_INTR,0x40040210,Port interrupt status register
GPIO_PRT2_PC2,0x40040218,Port configuration register 2
GPIO_PRT0_DR_SET,0x40040240,Port output data set register. See GPIO_PRT0_DR_SET for the details of bit fields.
GPIO_PRT0_DR_CLR,0x40040244,Port output data clear register. See GPIO_PRT0_DR_CLR for the details of bit fields.
GPIO_PRT0_DR_INV,0x40040248,Port output data invert register. See GPIO_PRT0_DR_INV for the details of bit fields.
GPIO_PRT3_DR,0x40040300,Port output data register
GPIO_PRT3_PS,0x40040304,Port IO pad state register
GPIO_PRT3_PC,0x40040308,Port configuration register
GPIO_PRT3_INTR_CFG,0x4004030C,Port interrupt configuration register
GPIO_PRT3_INTR,0x40040310,Port interrupt status register
GPIO_PRT3_PC2,0x40040318,Port configuration register 2
GPIO_PRT3_DR_SET,0x40040340,Port output data set register. See GPIO_PRT0_DR_SET for the details of bit fields.
GPIO_PRT3_DR_CLR,0x40040344,Port output data clear register. See GPIO_PRT0_DR_CLR for the details of bit fields.
GPIO_PRT3_DR_INV,0x40040348,Port output data invert register. See GPIO_PRT0_DR_INV for the details of bit fields.
GPIO_INTR_CAUSE0,0x40041000,Interrupt port cause register
GPIO_INTR_CAUSE1,0x40041004,Interrupt port cause register. See GPIO_INTR_CAUSE0 for the details of bit fields.
GPIO_INTR_CAUSE2,0x40041008,Interrupt port cause register. See GPIO_INTR_CAUSE0 for the details of bit fields.
GPIO_INTR_CAUSE3,0x4004100C,Interrupt port cause register. See GPIO_INTR_CAUSE0 for the details of bit fields.
HSIOM_PORT_SEL0,0x40020000,Port selection register
HSIOM_PORT_SEL1,0x40020100,Port selection register. See HSIOM_PORT_SEL0 for the details of bit fields.
HSIOM_PORT_SEL2,0x40020200,Port selection register
HSIOM_PORT_SEL3,0x40020300,Port selection register
HSIOM_PUMP_CTL,0x40022000,Pump control
PERI_DIV_CMD,0x40010000,Divider command register
PERI_PCLK_CTL0,0x40010100,Programmable clock control register
PERI_PCLK_CTL1,0x40010104,Programmable clock control register. See PERI_PCLK_CTL0 for the details of bit fields.
PERI_PCLK_CTL2,0x40010108,Programmable clock control register. See PERI_PCLK_CTL0 for the details of bit fields.
